Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
4.0,4.0,1.0,0,4704.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,1,4201.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,2,3134.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,3,3409.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,4,3758.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,5,5874.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,6,3106.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,7,3513.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,0,3089.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,1,7076.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,2,2932.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,3,3162.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,4,3041.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,5,4084.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,6,3020.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,7,2997.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,0,3101.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,1,5271.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,2,4552.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,3,4755.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,4,3041.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,5,5015.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,6,4693.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,7,6124.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,0,4148.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,1,3307.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,2,3904.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,3,7865.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,4,4352.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,5,4168.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,6,5281.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,7,5876.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,0,4225.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,1,3616.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,2,4415.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,3,3003.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,4,3949.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,5,4191.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,6,4991.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,7,3706.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,0,4950.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,1,5263.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,2,4059.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,3,3830.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,4,3713.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,5,4035.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,6,4007.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,7,3005.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,0,3115.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,1,5006.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,2,5054.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,3,3851.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,4,3844.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,5,4958.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,6,4146.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,7,3036.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,0,3289.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,1,2996.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,2,3986.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,3,4051.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,4,2966.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,5,3050.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,6,3079.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,1.0,7,2996.0,564.0,280.0,8.0,1.0,144.0,0.0
4.0,4.0,2.0,0,5234.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,1,7311.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,2,7634.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,3,5885.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,4,7120.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,5,5225.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,6,6230.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,7,6975.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,0,8103.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,1,5288.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,2,5244.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,3,7127.0,1056.0,506.0,7.0,1.0,256.0,0.0
4.0,4.0,2.0,4,6768.0,1056.0,506.0,7.0,1.0,256.0,0.0
