Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
3.0,1.0,5.0,0,42.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,1,43.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,2,66.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,3,64.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,4,64.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,5,96.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,6,67.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,7,64.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,8,80.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,9,77.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,0,100.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,1,86.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,2,68.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,3,85.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,4,58.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,5,72.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,6,55.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,7,77.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,8,62.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,9,47.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,0,44.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,1,49.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,2,65.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,3,74.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,4,88.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,5,87.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,6,55.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,7,74.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,8,57.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,9,56.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,0,51.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,1,45.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,2,46.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,3,43.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,4,44.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,5,53.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,6,80.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,7,98.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,8,103.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,9,66.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,0,63.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,1,59.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,2,62.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,3,46.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,4,45.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,5,46.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,6,43.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,7,59.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,8,94.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,9,57.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,0,58.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,1,57.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,2,104.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,3,58.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,4,61.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,5,43.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,6,45.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,7,45.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,8,46.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,9,42.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,0,45.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,1,66.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,2,132.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,3,90.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,4,114.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,5,101.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,6,107.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,7,99.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,8,106.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,9,72.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,0,46.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,1,51.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,2,67.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,3,94.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,4,77.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,5,79.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,6,72.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,7,74.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,8,73.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,9,66.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,0,46.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,1,47.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,2,42.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,3,45.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,4,45.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,5,84.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,6,83.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,7,84.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,8,85.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,9,71.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,0,60.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,1,57.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,2,50.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,3,45.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,4,44.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,5,45.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,6,59.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,7,58.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,8,81.0,16.0,16.0,4.0,0,6.0,0.0
3.0,1.0,5.0,9,76.0,16.0,16.0,4.0,0,6.0,0.0
3.0,2.0,5.0,0,312.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,1,310.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,2,245.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,3,190.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,4,196.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,5,141.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,6,140.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,7,140.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,8,140.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,9,152.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,0,255.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,1,246.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,2,283.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,3,244.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,4,240.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,5,240.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,6,245.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,7,187.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,8,229.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,9,136.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,0,139.0,58.0,58.0,5.0,0,14.0,0.0
3.0,2.0,5.0,1,141.0,58.0,58.0,5.0,0,14.0,0.0
3.0,2.0,5.0,2,135.0,58.0,58.0,5.0,0,14.0,0.0
3.0,2.0,5.0,3,153.0,58.0,58.0,5.0,0,14.0,0.0
3.0,2.0,5.0,4,291.0,58.0,58.0,5.0,0,14.0,0.0
3.0,2.0,5.0,5,248.0,58.0,58.0,5.0,0,14.0,0.0
3.0,2.0,5.0,6,246.0,58.0,58.0,5.0,0,14.0,0.0
3.0,2.0,5.0,7,312.0,58.0,58.0,5.0,0,14.0,0.0
3.0,2.0,5.0,8,312.0,58.0,58.0,5.0,0,14.0,0.0
3.0,2.0,5.0,9,310.0,58.0,58.0,5.0,0,14.0,0.0
3.0,2.0,5.0,0,403.0,82.0,82.0,5.0,0,34.0,0.0
3.0,2.0,5.0,1,342.0,82.0,82.0,5.0,0,34.0,0.0
3.0,2.0,5.0,2,260.0,82.0,82.0,5.0,0,34.0,0.0
3.0,2.0,5.0,3,198.0,82.0,82.0,5.0,0,34.0,0.0
3.0,2.0,5.0,4,196.0,82.0,82.0,5.0,0,34.0,0.0
3.0,2.0,5.0,5,209.0,82.0,82.0,5.0,0,34.0,0.0
3.0,2.0,5.0,6,204.0,82.0,82.0,5.0,0,34.0,0.0
3.0,2.0,5.0,7,197.0,82.0,82.0,5.0,0,34.0,0.0
3.0,2.0,5.0,8,260.0,82.0,82.0,5.0,0,34.0,0.0
3.0,2.0,5.0,9,265.0,82.0,82.0,5.0,0,34.0,0.0
3.0,2.0,5.0,0,181.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,1,186.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,2,186.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,3,176.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,4,157.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,5,136.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,6,157.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,7,139.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,8,139.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,9,142.0,58.0,58.0,5.0,0,18.0,0.0
3.0,2.0,5.0,0,168.0,70.0,70.0,5.0,0,20.0,0.0
3.0,2.0,5.0,1,168.0,70.0,70.0,5.0,0,20.0,0.0
