Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
3.0,1.0,5.0,0,139.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,1,138.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,2,139.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,3,141.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,4,134.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,5,140.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,6,145.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,7,141.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,8,141.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,9,140.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,0,181.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,1,142.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,2,190.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,3,163.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,4,164.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,5,153.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,6,153.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,7,153.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,8,160.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,9,164.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,0,156.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,1,140.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,2,141.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,3,141.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,4,142.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,5,142.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,6,139.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,7,184.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,8,192.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,9,153.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,0,201.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,1,199.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,2,198.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,3,164.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,4,160.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,5,144.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,6,140.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,7,144.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,8,156.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,9,150.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,0,145.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,1,214.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,2,276.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,3,278.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,4,206.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,5,251.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,6,222.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,7,168.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,8,170.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,9,146.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,0,185.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,1,153.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,2,145.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,3,188.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,4,185.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,5,182.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,6,186.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,7,182.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,8,189.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,9,143.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,0,142.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,1,204.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,2,227.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,3,202.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,4,291.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,5,205.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,6,272.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,7,266.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,8,269.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,9,265.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,0,228.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,1,207.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,2,146.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,3,141.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,4,142.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,5,202.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,6,210.0,16.0,13.0,4.0,1.0,3.0,0.0
3.0,1.0,5.0,7,321.0,16.0,13.0,4.0,1.0,3.0,0.0
