Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
3.0,1.0,5.0,0,157.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,1,137.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,2,135.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,3,138.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,4,139.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,5,431.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,6,425.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,7,422.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,8,165.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,9,146.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,0,152.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,1,153.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,2,139.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,3,142.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,4,139.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,5,138.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,6,349.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,7,354.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,8,281.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,9,285.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,0,284.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,1,282.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,2,285.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,3,609.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,4,432.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,5,213.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,6,213.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,7,213.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,8,209.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,9,212.0,16.0,13.0,4.0,4.0,3.0,0.0
3.0,1.0,5.0,0,422.0,16.0,13.0,4.0,4.0,3.0,0.0
