Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
3.0,1.0,5.0,0,137.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,1,137.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,2,136.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,3,136.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,4,136.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,5,134.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,6,137.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,7,141.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,8,355.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,9,348.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,0,355.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,1,361.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,2,355.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,3,321.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,4,320.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,5,321.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,6,328.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,7,355.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,8,347.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,9,418.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,0,444.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,1,432.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,2,205.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,3,227.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,4,199.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,5,207.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,6,202.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,7,201.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,8,198.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,9,198.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,0,201.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,1,200.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,2,198.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,3,201.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,4,199.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,5,289.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,6,201.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,7,349.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,8,356.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,9,351.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,0,277.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,1,279.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,2,280.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,3,276.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,4,389.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,5,351.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,6,356.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,7,177.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,8,174.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,9,172.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,0,176.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,1,175.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,2,178.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,3,351.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,4,352.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,5,352.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,6,352.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,7,349.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,8,375.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,9,177.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,0,179.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,1,176.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,2,174.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,3,176.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,4,183.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,5,277.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,6,279.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,7,319.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,8,320.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,9,424.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,0,422.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,1,412.0,16.0,13.0,4.0,3.0,3.0,0.0
3.0,1.0,5.0,2,250.0,16.0,13.0,4.0,3.0,3.0,0.0
