Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
3.0,1.0,5.0,0,135.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,1,136.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,2,136.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,3,136.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,4,135.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,5,136.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,6,379.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,7,417.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,8,422.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,9,307.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,0,286.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,1,286.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,2,280.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,3,347.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,4,322.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,5,285.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,6,282.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,7,283.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,8,375.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,9,352.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,0,356.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,1,283.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,2,286.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,3,148.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,4,144.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,5,146.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,6,141.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,7,140.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,8,144.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,9,142.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,0,141.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,1,140.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,2,426.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,3,419.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,4,429.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,5,286.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,6,297.0,16.0,13.0,4.0,2.0,3.0,0.0
3.0,1.0,5.0,7,281.0,16.0,13.0,4.0,2.0,3.0,0.0
