Cantidad de gimnasios, Tiempo
140, 36588276.000000
140, 36219520.000000
141, 32300284.000000
141, 38844529.000000
141, 35896289.000000
141, 43622033.000000
142, 37049626.000000
142, 41256946.000000
142, 36216422.000000
142, 31588118.000000
143, 40624129.000000
143, 39981137.000000
143, 37627048.000000
143, 35333792.000000
144, 33073763.000000
144, 37141857.000000
144, 35684213.000000
144, 32844662.000000
145, 31800938.000000
145, 32068235.000000
145, 31544844.000000
145, 28573607.000000
146, 33013358.000000
146, 41554353.000000
146, 39242959.000000
146, 33424459.000000
147, 38454614.000000
147, 40819902.000000
147, 34281308.000000
147, 40624250.000000
148, 32450797.000000
148, 30637021.000000
148, 31927870.000000
148, 31371153.000000
149, 40251182.000000
149, 40461353.000000
149, 32975928.000000
149, 28805025.000000
150, 31655780.000000
150, 31265109.000000
150, 30896616.000000
150, 33974252.000000
151, 38465732.000000
151, 32181115.000000
151, 33037650.000000
151, 32674358.000000
152, 31811105.000000
152, 39555031.000000
152, 36419352.000000
152, 39689525.000000
153, 34954803.000000
153, 31886752.000000
153, 30324723.000000
153, 48238245.000000
154, 36152224.000000
154, 37171759.000000
154, 32168203.000000
154, 34925875.000000
155, 44750480.000000
155, 35946099.000000
155, 34221607.000000
155, 33374573.000000
156, 35186727.000000
156, 32444414.000000
156, 32567648.000000
156, 34815855.000000
157, 40626581.000000
157, 36724501.000000
157, 37212561.000000
157, 37310100.000000
158, 34801248.000000
158, 34339544.000000
158, 36126990.000000
158, 34437024.000000
159, 39254488.000000
159, 33246923.000000
159, 34655709.000000
159, 37456174.000000
160, 40133460.000000
160, 39917887.000000
160, 42389353.000000
160, 42760218.000000
161, 33257408.000000
161, 38198810.000000
161, 36621539.000000
161, 38949363.000000
162, 36955072.000000
162, 39445720.000000
162, 33381079.000000
162, 36972312.000000
163, 40677801.000000
163, 36872726.000000
163, 37792812.000000
163, 38470951.000000
164, 37134842.000000
164, 42487770.000000
164, 39711785.000000
164, 40571761.000000
165, 39920948.000000
165, 39772712.000000
165, 42203150.000000
165, 34834602.000000
166, 38812427.000000
166, 41172425.000000
166, 39162907.000000
166, 37067420.000000
167, 43846086.000000
167, 36131498.000000
167, 40615047.000000
167, 39480362.000000
168, 39083685.000000
168, 35469186.000000
168, 40449501.000000
168, 37496585.000000
169, 39069925.000000
169, 37297758.000000
169, 45782248.000000
169, 45422810.000000
170, 44526280.000000
170, 44992575.000000
170, 40289908.000000
170, 40616031.000000
171, 41021447.000000
171, 40744038.000000
171, 43822311.000000
171, 42224424.000000
172, 39724292.000000
172, 45985857.000000
172, 40735865.000000
172, 42965140.000000
173, 45424114.000000
173, 40376959.000000
173, 42016110.000000
173, 44321646.000000
174, 42027533.000000
174, 43037261.000000
174, 41196198.000000
174, 46557415.000000
175, 37956286.000000
175, 44914989.000000
175, 45119107.000000
175, 39180839.000000
176, 43245991.000000
176, 44850547.000000
176, 42276364.000000
176, 45157936.000000
177, 44478899.000000
177, 40733836.000000
177, 41972212.000000
177, 42198656.000000
178, 43558552.000000
178, 41676057.000000
178, 45892936.000000
178, 45835131.000000
179, 49334661.000000
179, 42799947.000000
179, 50923945.000000
179, 43742940.000000
180, 46468651.000000
180, 45969502.000000
180, 46978158.000000
180, 43661340.000000
181, 43505122.000000
181, 45713382.000000
181, 39713362.000000
181, 47226514.000000
182, 45826724.000000
182, 46650997.000000
182, 48672548.000000
182, 43057126.000000
183, 48115951.000000
183, 50032575.000000
183, 43101673.000000
183, 49319861.000000
184, 51669282.000000
184, 48209736.000000
184, 44683373.000000
184, 44814613.000000
185, 47966098.000000
185, 43781956.000000
185, 43765343.000000
185, 49170015.000000
186, 47350395.000000
186, 52936068.000000
186, 47492625.000000
186, 52620299.000000
187, 48798849.000000
187, 48255616.000000
187, 49414806.000000
187, 48592125.000000
188, 50326352.000000
188, 47777487.000000
188, 52189616.000000
188, 46791729.000000
189, 46114700.000000
189, 49670572.000000
189, 46277964.000000
189, 50937168.000000
190, 53717699.000000
190, 52324484.000000
190, 53665782.000000
190, 52234798.000000
191, 52421276.000000
191, 50995127.000000
191, 51055877.000000
191, 52324120.000000
192, 51979985.000000
192, 53743314.000000
192, 52143307.000000
192, 57760394.000000
193, 57239128.000000
193, 61367179.000000
193, 58285811.000000
193, 54510967.000000
194, 57565204.000000
194, 55231420.000000
194, 51580791.000000
194, 56634479.000000
195, 60009306.000000
195, 61437133.000000
195, 50004218.000000
195, 54530856.000000
196, 54044463.000000
196, 52119969.000000
196, 53065392.000000
196, 56949864.000000
197, 51679086.000000
197, 58690733.000000
197, 55324488.000000
197, 53292304.000000
198, 58307394.000000
198, 56225146.000000
198, 56977392.000000
198, 53643128.000000
199, 56364172.000000
199, 51544095.000000
199, 55380007.000000
199, 56190442.000000
