Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2,Pociones Gimnasio
3, 3, 6, 4, 1858.000000, 274, 144, 4, 4, 47, 33, 1
3, 3, 6, 0, 2581.000000, 189, 101, 5, 4, 30, 14, 2
3, 3, 6, 1, 2737.000000, 189, 101, 5, 4, 30, 14, 2
3, 3, 6, 2, 1873.000000, 189, 101, 5, 4, 30, 14, 2
3, 3, 6, 3, 1182.000000, 189, 101, 5, 4, 30, 14, 2
3, 3, 6, 4, 1354.000000, 189, 101, 5, 4, 30, 14, 2
3, 3, 6, 0, 1545.000000, 184, 90, 6, 4, 18, 2, 3
3, 3, 6, 1, 1603.000000, 184, 90, 6, 4, 18, 2, 3
3, 3, 6, 2, 2051.000000, 184, 90, 6, 4, 18, 2, 3
3, 3, 6, 3, 1983.000000, 184, 90, 6, 4, 18, 2, 3
3, 3, 6, 4, 2176.000000, 184, 90, 6, 4, 18, 2, 3
7, 1, 6, 0, 8820.000000, 1348, 449, 8, 4, 7, 4, 0
7, 1, 6, 1, 9535.000000, 1348, 449, 8, 4, 7, 4, 0
7, 1, 6, 2, 7792.000000, 1348, 449, 8, 4, 7, 4, 0
7, 1, 6, 3, 9047.000000, 1348, 449, 8, 4, 7, 4, 0
7, 1, 6, 4, 15601.000000, 1348, 449, 8, 4, 7, 4, 0
4, 4, 6, 0, 11471.000000, 2207, 887, 6, 4, 282, 366, 1
4, 4, 6, 1, 15066.000000, 2207, 887, 6, 4, 282, 366, 1
4, 4, 6, 2, 10941.000000, 2207, 887, 6, 4, 282, 366, 1
4, 4, 6, 3, 12473.000000, 2207, 887, 6, 4, 282, 366, 1
4, 4, 6, 4, 10854.000000, 2207, 887, 6, 4, 282, 366, 1
4, 4, 6, 0, 9709.000000, 1625, 662, 7, 4, 140, 166, 2
4, 4, 6, 1, 10226.000000, 1625, 662, 7, 4, 140, 166, 2
4, 4, 6, 2, 9510.000000, 1625, 662, 7, 4, 140, 166, 2
4, 4, 6, 3, 13101.000000, 1625, 662, 7, 4, 140, 166, 2
4, 4, 6, 4, 8776.000000, 1625, 662, 7, 4, 140, 166, 2
4, 4, 6, 0, 9832.000000, 1259, 448, 8, 4, 88, 1, 3
4, 4, 6, 1, 11360.000000, 1259, 448, 8, 4, 88, 1, 3
4, 4, 6, 2, 7322.000000, 1259, 448, 8, 4, 88, 1, 3
4, 4, 6, 3, 7147.000000, 1259, 448, 8, 4, 88, 1, 3
4, 4, 6, 4, 7903.000000, 1259, 448, 8, 4, 88, 1, 3
7, 1, 6, 0, 7442.000000, 1342, 449, 8, 4, 7, 10, 0
7, 1, 6, 1, 7641.000000, 1342, 449, 8, 4, 7, 10, 0
7, 1, 6, 2, 8818.000000, 1342, 449, 8, 4, 7, 10, 0
7, 1, 6, 3, 7312.000000, 1342, 449, 8, 4, 7, 10, 0
7, 1, 6, 4, 7661.000000, 1342, 449, 8, 4, 7, 10, 0
4, 4, 6, 0, 12789.000000, 2293, 901, 6, 4, 294, 302, 1
4, 4, 6, 1, 11595.000000, 2293, 901, 6, 4, 294, 302, 1
4, 4, 6, 2, 15087.000000, 2293, 901, 6, 4, 294, 302, 1
4, 4, 6, 3, 12643.000000, 2293, 901, 6, 4, 294, 302, 1
4, 4, 6, 4, 14714.000000, 2293, 901, 6, 4, 294, 302, 1
4, 4, 6, 0, 9075.000000, 1661, 669, 7, 4, 144, 140, 2
4, 4, 6, 1, 9621.000000, 1661, 669, 7, 4, 144, 140, 2
4, 4, 6, 2, 8767.000000, 1661, 669, 7, 4, 144, 140, 2
4, 4, 6, 3, 13013.000000, 1661, 669, 7, 4, 144, 140, 2
4, 4, 6, 4, 10946.000000, 1661, 669, 7, 4, 144, 140, 2
4, 4, 6, 0, 6979.000000, 1258, 448, 8, 4, 88, 2, 3
4, 4, 6, 1, 7324.000000, 1258, 448, 8, 4, 88, 2, 3
4, 4, 6, 2, 8731.000000, 1258, 448, 8, 4, 88, 2, 3
4, 4, 6, 3, 6930.000000, 1258, 448, 8, 4, 88, 2, 3
4, 4, 6, 4, 9622.000000, 1258, 448, 8, 4, 88, 2, 3
9, 1, 6, 0, 59094.000000, 9222, 2305, 10, 4, 9, 4, 0
9, 1, 6, 1, 63995.000000, 9222, 2305, 10, 4, 9, 4, 0
9, 1, 6, 2, 54893.000000, 9222, 2305, 10, 4, 9, 4, 0
9, 1, 6, 3, 55627.000000, 9222, 2305, 10, 4, 9, 4, 0
9, 1, 6, 4, 54587.000000, 9222, 2305, 10, 4, 9, 4, 0
5, 5, 6, 0, 87022.000000, 17135, 5080, 7, 4, 1630, 1110, 1
5, 5, 6, 1, 85521.000000, 17135, 5080, 7, 4, 1630, 1110, 1
5, 5, 6, 2, 84996.000000, 17135, 5080, 7, 4, 1630, 1110, 1
5, 5, 6, 3, 84653.000000, 17135, 5080, 7, 4, 1630, 1110, 1
5, 5, 6, 4, 83047.000000, 17135, 5080, 7, 4, 1630, 1110, 1
5, 5, 6, 0, 72796.000000, 13822, 4110, 9, 4, 735, 298, 2
5, 5, 6, 1, 72948.000000, 13822, 4110, 9, 4, 735, 298, 2
5, 5, 6, 2, 77000.000000, 13822, 4110, 9, 4, 735, 298, 2
5, 5, 6, 3, 70027.000000, 13822, 4110, 9, 4, 735, 298, 2
5, 5, 6, 4, 73537.000000, 13822, 4110, 9, 4, 735, 298, 2
5, 5, 6, 0, 47101.000000, 7495, 2100, 10, 4, 425, 0, 3
5, 5, 6, 1, 44376.000000, 7495, 2100, 10, 4, 425, 0, 3
5, 5, 6, 2, 43577.000000, 7495, 2100, 10, 4, 425, 0, 3
5, 5, 6, 3, 43106.000000, 7495, 2100, 10, 4, 425, 0, 3
5, 5, 6, 4, 49306.000000, 7495, 2100, 10, 4, 425, 0, 3
9, 1, 6, 0, 54766.000000, 9218, 2305, 10, 4, 9, 8, 0
9, 1, 6, 1, 55166.000000, 9218, 2305, 10, 4, 9, 8, 0
9, 1, 6, 2, 52373.000000, 9218, 2305, 10, 4, 9, 8, 0
9, 1, 6, 3, 53051.000000, 9218, 2305, 10, 4, 9, 8, 0
9, 1, 6, 4, 55037.000000, 9218, 2305, 10, 4, 9, 8, 0
5, 5, 6, 0, 88988.000000, 17356, 5080, 7, 4, 1630, 889, 1
5, 5, 6, 1, 87054.000000, 17356, 5080, 7, 4, 1630, 889, 1
5, 5, 6, 2, 83994.000000, 17356, 5080, 7, 4, 1630, 889, 1
5, 5, 6, 3, 95419.000000, 17356, 5080, 7, 4, 1630, 889, 1
5, 5, 6, 4, 94662.000000, 17356, 5080, 7, 4, 1630, 889, 1
5, 5, 6, 0, 79287.000000, 13830, 4110, 9, 4, 735, 290, 2
5, 5, 6, 1, 77636.000000, 13830, 4110, 9, 4, 735, 290, 2
5, 5, 6, 2, 72753.000000, 13830, 4110, 9, 4, 735, 290, 2
5, 5, 6, 3, 76373.000000, 13830, 4110, 9, 4, 735, 290, 2
5, 5, 6, 4, 72974.000000, 13830, 4110, 9, 4, 735, 290, 2
5, 5, 6, 0, 46507.000000, 7494, 2100, 10, 4, 425, 1, 3
5, 5, 6, 1, 46965.000000, 7494, 2100, 10, 4, 425, 1, 3
5, 5, 6, 2, 57331.000000, 7494, 2100, 10, 4, 425, 1, 3
5, 5, 6, 3, 55310.000000, 7494, 2100, 10, 4, 425, 1, 3
5, 5, 6, 4, 47373.000000, 7494, 2100, 10, 4, 425, 1, 3
11, 1, 6, 0, 308765.000000, 56302, 11264, 12, 4, 11, 29, 0
11, 1, 6, 1, 317615.000000, 56302, 11264, 12, 4, 11, 29, 0
11, 1, 6, 2, 308330.000000, 56302, 11264, 12, 4, 11, 29, 0
11, 1, 6, 3, 312658.000000, 56302, 11264, 12, 4, 11, 29, 0
11, 1, 6, 4, 313980.000000, 56302, 11264, 12, 4, 11, 29, 0
6, 6, 6, 0, 550332.000000, 114054, 27486, 8, 4, 8104, 7442, 1
6, 6, 6, 1, 556633.000000, 114054, 27486, 8, 4, 8104, 7442, 1
6, 6, 6, 2, 558752.000000, 114054, 27486, 8, 4, 8104, 7442, 1
6, 6, 6, 3, 548476.000000, 114054, 27486, 8, 4, 8104, 7442, 1
6, 6, 6, 4, 545420.000000, 114054, 27486, 8, 4, 8104, 7442, 1
6, 6, 6, 0, 476445.000000, 95345, 22970, 10, 4, 3916, 2211, 2
6, 6, 6, 1, 469449.000000, 95345, 22970, 10, 4, 3916, 2211, 2
6, 6, 6, 2, 470260.000000, 95345, 22970, 10, 4, 3916, 2211, 2
6, 6, 6, 3, 478325.000000, 95345, 22970, 10, 4, 3916, 2211, 2
6, 6, 6, 4, 468189.000000, 95345, 22970, 10, 4, 3916, 2211, 2
6, 6, 6, 0, 239065.000000, 41112, 9504, 12, 4, 1986, 6, 3
6, 6, 6, 1, 235025.000000, 41112, 9504, 12, 4, 1986, 6, 3
6, 6, 6, 2, 237552.000000, 41112, 9504, 12, 4, 1986, 6, 3
6, 6, 6, 3, 247485.000000, 41112, 9504, 12, 4, 1986, 6, 3
6, 6, 6, 4, 248788.000000, 41112, 9504, 12, 4, 1986, 6, 3
11, 1, 6, 0, 310451.000000, 56316, 11265, 12, 4, 11, 16, 0
11, 1, 6, 1, 312571.000000, 56316, 11265, 12, 4, 11, 16, 0
11, 1, 6, 2, 311308.000000, 56316, 11265, 12, 4, 11, 16, 0
11, 1, 6, 3, 308022.000000, 56316, 11265, 12, 4, 11, 16, 0
11, 1, 6, 4, 310172.000000, 56316, 11265, 12, 4, 11, 16, 0
6, 6, 6, 0, 500126.000000, 101000, 26709, 8, 4, 7740, 18361, 1
6, 6, 6, 1, 497823.000000, 101000, 26709, 8, 4, 7740, 18361, 1
6, 6, 6, 2, 496301.000000, 101000, 26709, 8, 4, 7740, 18361, 1
6, 6, 6, 3, 496390.000000, 101000, 26709, 8, 4, 7740, 18361, 1
6, 6, 6, 4, 500997.000000, 101000, 26709, 8, 4, 7740, 18361, 1
6, 6, 6, 0, 475705.000000, 94781, 22881, 10, 4, 3915, 2616, 2
6, 6, 6, 1, 471814.000000, 94781, 22881, 10, 4, 3915, 2616, 2
6, 6, 6, 2, 470619.000000, 94781, 22881, 10, 4, 3915, 2616, 2
6, 6, 6, 3, 475273.000000, 94781, 22881, 10, 4, 3915, 2616, 2
6, 6, 6, 4, 468200.000000, 94781, 22881, 10, 4, 3915, 2616, 2
6, 6, 6, 0, 237460.000000, 41114, 9504, 12, 4, 1986, 4, 3
