Cantidad de gimnasios, Cantidad de pokeparadas, Capacidad mochila, Diferencia
5, 2, 5, 23.026283
5, 3, 5, 22.788831
5, 4, 5, 14.935665
5, 5, 5, 33.986656
5, 6, 5, 39.229094
5, 7, 5, 21.250435
5, 8, 5, 33.028692
5, 9, 5, 35.07149
5, 10, 5, 34.11536
5, 11, 5, 14.163515
5, 12, 5, 36.208155
5, 13, 5, 55.776194
5, 14, 5, 42.675667
5, 15, 5, 65.264273

