Codigo de caso,Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Tiempo,Distancia del camino,Cantidad de cambios,Codigo de vecindad
100, 2, 10, 7, 11.000000, 45.603178, 1, '0001'
100, 2, 10, 7, 13.000000, 45.603178, 1, '0001'
100, 2, 10, 7, 13.000000, 45.603178, 1, '0001'
100, 2, 10, 7, 13.000000, 45.603178, 1, '0001'
100, 2, 10, 7, 37.000000, 45.603178, 1, '0011'
100, 2, 10, 7, 45.000000, 45.603178, 1, '0011'
100, 2, 10, 7, 35.000000, 45.603178, 1, '0011'
100, 2, 10, 7, 48.000000, 45.603178, 1, '0011'
100, 2, 10, 7, 44.000000, 45.603178, 1, '0111'
100, 2, 10, 7, 46.000000, 45.603178, 1, '0111'
100, 2, 10, 7, 46.000000, 45.603178, 1, '0111'
100, 2, 10, 7, 48.000000, 45.603178, 1, '0111'
100, 2, 10, 7, 112.000000, 45.603178, 1, '1111'
100, 2, 10, 7, 103.000000, 45.603178, 1, '1111'
100, 2, 10, 7, 139.000000, 45.603178, 1, '1111'
100, 2, 10, 7, 103.000000, 45.603178, 1, '1111'
100, 2, 10, 7, 115492.000000, 36.547611, 0, '2'
100, 2, 10, 7, 115336.000000, 36.547611, 0, '2'
100, 2, 10, 7, 114054.000000, 36.547611, 0, '2'
100, 2, 10, 7, 114848.000000, 36.547611, 0, '2'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 1.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 0.000000, -1.000000, 2, '1111'
6, 7, 1, 2, 1.000000, -1.000000, 0, '2'
6, 7, 1, 2, 0.000000, -1.000000, 0, '2'
6, 7, 1, 2, 0.000000, -1.000000, 0, '2'
6, 7, 1, 2, 0.000000, -1.000000, 0, '2'
97, 8, 7, 4, 42.000000, 215.333112, 1, '0001'
97, 8, 7, 4, 41.000000, 215.333112, 1, '0001'
97, 8, 7, 4, 40.000000, 215.333112, 1, '0001'
97, 8, 7, 4, 40.000000, 215.333112, 1, '0001'
97, 8, 7, 4, 567.000000, 159.631102, 5, '0011'
97, 8, 7, 4, 443.000000, 159.631102, 5, '0011'
97, 8, 7, 4, 413.000000, 159.631102, 5, '0011'
97, 8, 7, 4, 610.000000, 159.631102, 5, '0011'
97, 8, 7, 4, 1104.000000, 145.893769, 7, '0111'
97, 8, 7, 4, 1602.000000, 145.893769, 7, '0111'
97, 8, 7, 4, 1595.000000, 145.893769, 7, '0111'
97, 8, 7, 4, 1624.000000, 145.893769, 7, '0111'
