Cantidad de paradas, Capacidad de mochila, Tiempo
68, 5, 505804.000000
68, 5, 498153.000000
68, 5, 1100059.000000
68, 5, 1349665.000000
69, 5, 560518.000000
69, 5, 286404.000000
69, 5, 833388.000000
69, 5, 782792.000000
70, 5, 2358154.000000
70, 5, 1272810.000000
70, 5, 925492.000000
70, 5, 815134.000000
71, 5, 357156.000000
71, 5, 879914.000000
71, 5, 655384.000000
71, 5, 592561.000000
72, 5, 926845.000000
72, 5, 1032041.000000
72, 5, 957451.000000
72, 5, 541771.000000
73, 5, 705850.000000
73, 5, 902316.000000
73, 5, 722976.000000
73, 5, 620872.000000
74, 5, 923851.000000
74, 5, 557761.000000
74, 5, 910885.000000
74, 5, 1226821.000000
75, 5, 707386.000000
75, 5, 672440.000000
75, 5, 866107.000000
75, 5, 722504.000000
76, 5, 2247774.000000
76, 5, 958349.000000
76, 5, 901933.000000
76, 5, 795397.000000
77, 5, 778338.000000
77, 5, 566374.000000
77, 5, 1544478.000000
77, 5, 1128140.000000
78, 5, 1082083.000000
78, 5, 1176460.000000
78, 5, 767546.000000
78, 5, 2748313.000000
79, 5, 997336.000000
79, 5, 1440936.000000
79, 5, 778164.000000
79, 5, 1180694.000000
80, 5, 870777.000000
80, 5, 875313.000000
80, 5, 759329.000000
80, 5, 539684.000000
81, 5, 1228331.000000
81, 5, 561554.000000
81, 5, 836211.000000
81, 5, 708807.000000
82, 5, 1359369.000000
82, 5, 987840.000000
82, 5, 804585.000000
82, 5, 1291926.000000
83, 5, 1013706.000000
83, 5, 1078528.000000
83, 5, 1932416.000000
83, 5, 2311511.000000
84, 5, 869131.000000
84, 5, 704567.000000
84, 5, 1080916.000000
84, 5, 1120576.000000
85, 5, 724126.000000
85, 5, 993490.000000
85, 5, 905424.000000
85, 5, 790614.000000
86, 5, 1262128.000000
86, 5, 567739.000000
86, 5, 1678594.000000
86, 5, 907929.000000
87, 5, 1363764.000000
87, 5, 866222.000000
87, 5, 780824.000000
87, 5, 1322408.000000
88, 5, 2191479.000000
88, 5, 1244013.000000
88, 5, 579109.000000
88, 5, 1267228.000000
89, 5, 1056164.000000
89, 5, 1305368.000000
89, 5, 968897.000000
89, 5, 1676984.000000
90, 5, 1078474.000000
90, 5, 834165.000000
90, 5, 1641006.000000
90, 5, 1333117.000000
91, 5, 1051765.000000
91, 5, 1202622.000000
91, 5, 1276597.000000
91, 5, 1841094.000000
92, 5, 1162655.000000
92, 5, 1675378.000000
92, 5, 1334514.000000
92, 5, 931919.000000
93, 5, 1171083.000000
93, 5, 1359096.000000
93, 5, 675544.000000
93, 5, 1372243.000000
94, 5, 1321174.000000
94, 5, 1889679.000000
94, 5, 1124547.000000
94, 5, 1889045.000000
95, 5, 1565244.000000
95, 5, 1586710.000000
95, 5, 1422851.000000
95, 5, 1085955.000000
96, 5, 1419318.000000
96, 5, 1377714.000000
96, 5, 1976466.000000
96, 5, 1285203.000000
97, 5, 1708495.000000
97, 5, 1511539.000000
97, 5, 1502477.000000
97, 5, 1564276.000000
98, 5, 1029198.000000
98, 5, 1146462.000000
98, 5, 1297988.000000
98, 5, 2086703.000000
99, 5, 2129162.000000
99, 5, 1686734.000000
99, 5, 1829913.000000
99, 5, 2179214.000000
100, 5, 1035813.000000
100, 5, 824220.000000
100, 5, 1997146.000000
100, 5, 2988239.000000
101, 5, 1745495.000000
101, 5, 1385868.000000
101, 5, 1782862.000000
101, 5, 1830126.000000
102, 5, 2647932.000000
102, 5, 1311800.000000
102, 5, 934323.000000
102, 5, 2071104.000000
103, 5, 1486713.000000
103, 5, 2162001.000000
103, 5, 1152010.000000
103, 5, 1398528.000000
104, 5, 2505899.000000
104, 5, 1181132.000000
104, 5, 3947725.000000
104, 5, 920498.000000
105, 5, 1047674.000000
105, 5, 1854854.000000
105, 5, 1016148.000000
105, 5, 1449546.000000
106, 5, 1592751.000000
106, 5, 1275089.000000
106, 5, 1381201.000000
106, 5, 1154381.000000
107, 5, 2835588.000000
107, 5, 1186042.000000
107, 5, 1087034.000000
107, 5, 2140247.000000
108, 5, 1671152.000000
108, 5, 1819876.000000
108, 5, 1245585.000000
108, 5, 1357992.000000
109, 5, 2677809.000000
109, 5, 2205726.000000
109, 5, 2758368.000000
109, 5, 2668650.000000
110, 5, 1453263.000000
110, 5, 2690613.000000
110, 5, 1469595.000000
110, 5, 1255619.000000
111, 5, 2712633.000000
111, 5, 1608531.000000
111, 5, 2445712.000000
111, 5, 2830500.000000
112, 5, 1601011.000000
112, 5, 1340845.000000
112, 5, 2207407.000000
112, 5, 3122833.000000
113, 5, 1936238.000000
113, 5, 1248413.000000
113, 5, 2620549.000000
113, 5, 1478579.000000
114, 5, 2500190.000000
114, 5, 2224785.000000
114, 5, 2225602.000000
114, 5, 1299047.000000
115, 5, 1495218.000000
115, 5, 2501012.000000
115, 5, 1192527.000000
115, 5, 3646828.000000
116, 5, 1501167.000000
116, 5, 1546026.000000
116, 5, 1829231.000000
116, 5, 2030821.000000
117, 5, 2089954.000000
117, 5, 4503638.000000
117, 5, 1772250.000000
117, 5, 2791369.000000
118, 5, 1857633.000000
118, 5, 2098921.000000
118, 5, 1172987.000000
118, 5, 1753811.000000
119, 5, 4285027.000000
119, 5, 1393161.000000
119, 5, 3716700.000000
119, 5, 2525255.000000
120, 5, 1975888.000000
120, 5, 3007345.000000
120, 5, 2559429.000000
120, 5, 1793700.000000
121, 5, 2725427.000000
121, 5, 2509549.000000
121, 5, 2101385.000000
121, 5, 3307555.000000
122, 5, 2083867.000000
122, 5, 2176969.000000
122, 5, 1920375.000000
