Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
1.0,4.0,4.0,0,155.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,1,200.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,2,155.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,3,156.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,4,157.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,5,179.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,6,155.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,7,155.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,0,160.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,1,197.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,2,321.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,3,318.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,4,207.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,5,214.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,6,205.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,7,268.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,0,229.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,1,251.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,2,158.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,3,158.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,4,220.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,5,267.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,6,261.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,7,260.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,0,226.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,1,201.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,2,3009.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,3,154.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,4,151.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,5,152.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,6,203.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,7,277.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,0,351.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,1,404.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,2,375.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,3,217.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,4,285.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,5,331.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,6,255.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,7,174.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,0,206.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,1,209.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,2,207.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,3,200.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,4,211.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,5,202.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,6,208.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,7,204.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,0,161.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,1,160.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,2,161.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,3,175.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,4,269.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,5,371.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,6,366.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,7,189.0,6.0,6.0,2.0,4.0,2.0,16.0
1.0,4.0,4.0,0,239.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,1,230.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,2,233.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,3,156.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,4,159.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,5,268.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,6,265.0,4.0,4.0,2.0,4.0,0.0,16.0
1.0,4.0,4.0,7,261.0,4.0,4.0,2.0,4.0,0.0,16.0
2.0,4.0,4.0,0,1006.0,68.0,62.0,3.0,4.0,43.0,36.0
2.0,4.0,4.0,1,1000.0,68.0,62.0,3.0,4.0,43.0,36.0
2.0,4.0,4.0,2,863.0,68.0,62.0,3.0,4.0,43.0,36.0
2.0,4.0,4.0,3,767.0,68.0,62.0,3.0,4.0,43.0,36.0
