Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
1.0,4.0,4.0,0,127.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,1,125.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,2,127.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,3,101.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,4,98.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,5,109.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,6,96.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,7,97.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,0,99.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,1,129.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,2,129.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,3,171.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,4,122.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,5,166.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,6,110.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,7,109.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,0,97.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,1,97.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,2,95.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,3,134.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,4,98.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,5,126.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,6,119.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,7,145.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,0,141.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,1,149.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,2,198.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,3,159.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,4,101.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,5,99.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,6,106.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,7,112.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,0,98.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,1,122.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,2,127.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,3,251.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,4,189.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,5,151.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,6,148.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,7,129.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,0,129.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,1,95.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,2,121.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,3,122.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,4,165.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,5,205.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,6,185.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,7,181.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,0,184.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,1,180.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,2,133.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,3,144.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,4,95.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,5,97.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,6,101.0,32.0,32.0,2.0,0.0,28.0,0.0
1.0,4.0,4.0,7,101.0,32.0,32.0,2.0,0.0,28.0,0.0
