Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
1.0,4.0,4.0,0,153.0,5.0,5.0,2.0,2.0,1.0,15.0
1.0,4.0,4.0,1,160.0,5.0,5.0,2.0,2.0,1.0,15.0
1.0,4.0,4.0,2,160.0,5.0,5.0,2.0,2.0,1.0,15.0
1.0,4.0,4.0,3,167.0,5.0,5.0,2.0,2.0,1.0,15.0
1.0,4.0,4.0,4,158.0,5.0,5.0,2.0,2.0,1.0,15.0
1.0,4.0,4.0,5,159.0,5.0,5.0,2.0,2.0,1.0,15.0
1.0,4.0,4.0,6,241.0,5.0,5.0,2.0,2.0,1.0,15.0
1.0,4.0,4.0,7,202.0,5.0,5.0,2.0,2.0,1.0,15.0
1.0,4.0,4.0,0,299.0,10.0,10.0,2.0,2.0,6.0,13.0
1.0,4.0,4.0,1,301.0,10.0,10.0,2.0,2.0,6.0,13.0
1.0,4.0,4.0,2,310.0,10.0,10.0,2.0,2.0,6.0,13.0
1.0,4.0,4.0,3,179.0,10.0,10.0,2.0,2.0,6.0,13.0
1.0,4.0,4.0,4,178.0,10.0,10.0,2.0,2.0,6.0,13.0
1.0,4.0,4.0,5,183.0,10.0,10.0,2.0,2.0,6.0,13.0
1.0,4.0,4.0,6,269.0,10.0,10.0,2.0,2.0,6.0,13.0
1.0,4.0,4.0,7,344.0,10.0,10.0,2.0,2.0,6.0,13.0
1.0,4.0,4.0,0,277.0,12.0,12.0,2.0,2.0,8.0,12.0
1.0,4.0,4.0,1,365.0,12.0,12.0,2.0,2.0,8.0,12.0
1.0,4.0,4.0,2,422.0,12.0,12.0,2.0,2.0,8.0,12.0
1.0,4.0,4.0,3,410.0,12.0,12.0,2.0,2.0,8.0,12.0
1.0,4.0,4.0,4,203.0,12.0,12.0,2.0,2.0,8.0,12.0
1.0,4.0,4.0,5,262.0,12.0,12.0,2.0,2.0,8.0,12.0
1.0,4.0,4.0,6,184.0,12.0,12.0,2.0,2.0,8.0,12.0
1.0,4.0,4.0,7,299.0,12.0,12.0,2.0,2.0,8.0,12.0
1.0,4.0,4.0,0,357.0,21.0,21.0,2.0,2.0,17.0,6.0
1.0,4.0,4.0,1,358.0,21.0,21.0,2.0,2.0,17.0,6.0
1.0,4.0,4.0,2,327.0,21.0,21.0,2.0,2.0,17.0,6.0
1.0,4.0,4.0,3,319.0,21.0,21.0,2.0,2.0,17.0,6.0
1.0,4.0,4.0,4,287.0,21.0,21.0,2.0,2.0,17.0,6.0
1.0,4.0,4.0,5,284.0,21.0,21.0,2.0,2.0,17.0,6.0
1.0,4.0,4.0,6,296.0,21.0,21.0,2.0,2.0,17.0,6.0
1.0,4.0,4.0,7,400.0,21.0,21.0,2.0,2.0,17.0,6.0
1.0,4.0,4.0,0,318.0,6.0,6.0,2.0,2.0,2.0,14.0
1.0,4.0,4.0,1,322.0,6.0,6.0,2.0,2.0,2.0,14.0
1.0,4.0,4.0,2,316.0,6.0,6.0,2.0,2.0,2.0,14.0
1.0,4.0,4.0,3,320.0,6.0,6.0,2.0,2.0,2.0,14.0
