Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
1.0,4.0,4.0,0,257.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,1,342.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,2,325.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,3,327.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,4,334.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,5,349.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,6,305.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,7,271.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,0,262.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,1,259.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,2,342.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,3,259.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,4,339.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,5,339.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,6,344.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,7,348.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,0,258.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,1,246.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,2,254.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,3,253.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,4,263.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,5,262.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,6,256.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,7,338.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,0,349.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,1,336.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,2,560.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,3,568.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,4,270.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,5,261.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,6,269.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,7,270.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,0,267.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,1,342.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,2,341.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,3,343.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,4,338.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,5,262.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,6,319.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,7,324.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,0,321.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,1,325.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,2,404.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,3,431.0,32.0,26.0,2.0,1.0,22.0,0.0
1.0,4.0,4.0,4,560.0,32.0,26.0,2.0,1.0,22.0,0.0
